name	mode	threads	schedule	chunk	top_p	pq_m	pq_ks	pq_iters	pq_train	recall	latency_us
flat_baseline_t1	0	1	static	256	2000	8	128	3	5000	0.99995	20851.9
flat_simd_t1	1	1	static	256	2000	8	128	3	5000	0.99995	7742.58
flat_openmp_t1	2	1	static	256	2000	8	128	3	5000	0.99995	21582.5
flat_openmp_t2	2	2	static	256	2000	8	128	3	5000	0.99995	15469.9
flat_openmp_t4	2	4	static	256	2000	8	128	3	5000	0.99995	4976.98
flat_openmp_t8	2	8	static	256	2000	8	128	3	5000	0.99995	2845.95
flat_omp_simd_t1	3	1	static	256	2000	8	128	3	5000	0.99995	7013.77
flat_omp_simd_t2	3	2	static	256	2000	8	128	3	5000	0.99995	2895.53
flat_omp_simd_t4	3	4	static	256	2000	8	128	3	5000	0.99995	1628.58
flat_omp_simd_t8	3	8	static	256	2000	8	128	3	5000	0.99995	747.756
sq_topp1000	4	1	static	256	1000	8	128	3	5000	0.176451	3941.61
sq_topp2000	4	1	static	256	2000	8	128	3	5000	0.27565	4367.2
sq_topp5000	4	1	static	256	5000	8	128	3	5000	0.457849	5795.56
sq_topp10000	4	1	static	256	10000	8	128	3	5000	0.628151	8904.9
pq_topp2000	5	1	static	256	2000	8	128	3	5000	0.996301	2830.47
pq_topp5000	5	1	static	256	5000	8	128	3	5000	0.9996	4680.62
pq_topp10000	5	1	static	256	10000	8	128	3	5000	0.99995	8019.73
pq_omp_t1	6	1	static	256	5000	8	128	3	5000	0.9996	5243.48
pq_omp_t2	6	2	static	256	5000	8	128	3	5000	0.9996	6786.91
pq_omp_t4	6	4	static	256	5000	8	128	3	5000	0.9996	8013.69
pq_omp_t8	6	8	static	256	5000	8	128	3	5000	0.9996	9604.74
sched_static_256	3	4	static	256	2000	8	128	3	5000	0.99995	1582.5
sched_dynamic_256	3	4	dynamic	256	2000	8	128	3	5000	0.99995	1821.19
sched_guided_256	3	4	guided	256	2000	8	128	3	5000	0.99995	1857.32
sched_static_64	3	4	static	64	2000	8	128	3	5000	0.99995	1804.33
sched_static_1024	3	4	static	1024	2000	8	128	3	5000	0.99995	1459.06
